Fri Feb 21 11:03:25 2025    n32_ps2048_32t_J/ppfunction_results.prof

         2376185 function calls (1613152 primitive calls) in 11.453 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
881496/170512    5.563    0.000    1.105    0.000 /home/speron/paralela/vect/dinamic_ga/n32_ps2048_32t_J/dgamod.py:740(refined_cns)
 5544/594    2.223    0.000    9.341    0.016 /home/speron/paralela/vect/dinamic_ga/n32_ps2048_32t_J/dgamod.py:785(generate_states)
5544/1372    0.654    0.000    3.871    0.003 /home/speron/paralela/vect/dinamic_ga/n32_ps2048_32t_J/dgamod.py:766(calculate_reward)
   881496    0.645    0.000    0.645    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.557    0.279    0.596    0.298 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
        3    0.192    0.064   10.782    3.594 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
16632/1814    0.146    0.000    0.016    0.000 {built-in method numpy.zeros}
5544/5023    0.138    0.000    0.083    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:64(zeros_like)
 5544/576    0.127    0.000    9.453    0.016 /home/speron/paralela/vect/dinamic_ga/n32_ps2048_32t_J/dgamod.py:751(reward_based_fitness_vectorized)
     9049    0.088    0.000    0.088    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1191/11    0.076    0.000    0.001    0.000 {method 'get' of '_queue.SimpleQueue' objects}
5544/2617    0.070    0.000    0.034    0.000 {built-in method numpy.arange}
 5544/576    0.057    0.000    9.877    0.017 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
9049/8722    0.054    0.000    0.143    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
5544/5103    0.053    0.000    0.114    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
     5544    0.047    0.000    3.264    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
     4559    0.039    0.000   19.978    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
 5544/576    0.037    0.000    9.809    0.017 /home/speron/paralela/vect/dinamic_ga/n32_ps2048_32t_J/dgamod.py:333(<lambda>)
5544/5187    0.035    0.000    1.715    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
29103/28746    0.034    0.000    0.484    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
     5643    0.034    0.000    0.059    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
29103/29011    0.033    0.000    0.048    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
     5544    0.030    0.000    0.926    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
5544/5302    0.024    0.000    0.048    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
    22176    0.023    0.000    0.023    0.000 {method '__enter__' of '_thread.RLock' objects}
    44826    0.021    0.000    0.021    0.000 {built-in method builtins.len}
 5544/576    0.021    0.000    9.851    0.017 /home/speron/paralela/vect/dinamic_ga/n32_ps2048_32t_J/dgamod.py:335(<lambda>)
        2    0.020    0.010    0.043    0.022 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
19495/18265    0.017    0.000    0.015    0.000 {method 'acquire' of '_thread.lock' objects}
     5544    0.017    0.000   18.868    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
     5544    0.017    0.000   22.074    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
     6831    0.015    0.000    0.023    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:398(notify)
     3496    0.015    0.000    0.036    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
5640/5637    0.014    0.000    0.037    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:428(notify_all)
     5544    0.013    0.000    2.033    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
    22470    0.013    0.000    0.013    0.000 {method '__exit__' of '_thread.RLock' objects}
    11088    0.012    0.000    0.012    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
     5544    0.012    0.000    0.026    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
     5544    0.012    0.000    0.072    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
     5547    0.011    0.000   22.683    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
     9065    0.010    0.000    0.014    0.000 {built-in method builtins.isinstance}
     5545    0.010    0.000    0.011    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
    16929    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
       96    0.009    0.000    0.009    0.000 {built-in method _thread.start_joinable_thread}
        5    0.009    0.002    0.012    0.002 {built-in method builtins.sorted}
     5640    0.008    0.000    0.008    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
      600    0.008    0.000    0.008    0.000 {method 'index' of 'list' objects}
    18018    0.008    0.000    0.008    0.000 {method '__exit__' of '_thread.lock' objects}
     5643    0.008    0.000    0.008    0.000 {method 'put' of '_queue.SimpleQueue' objects}
     96/3    0.008    0.000   10.567    3.522 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1025(_bootstrap_inner)
