Mon Jan 27 20:26:04 2025    n16_ps1024_4t/ppfunction_results.prof

         45537615 function calls (42710277 primitive calls) in 48.750 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
15776/6312    7.206    0.000   33.671    0.005 /home/speron/paralela/dinamic_ga/n16_ps1024_4t/dgamod.py:143(reward_based_fitness)
1262080/505059    6.840    0.000   30.194    0.000 /home/speron/paralela/dinamic_ga/n16_ps1024_4t/dgamod.py:113(calculate_next_state)
1262080/505059    6.590    0.000    2.979    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
6310400/5048320    5.288    0.000    6.277    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
  1262080    3.354    0.000    3.354    0.000 {built-in method _warnings.warn}
  1262080    2.263    0.000   10.939    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
  2524160    2.000    0.000    3.886    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  2524160    1.889    0.000    6.390    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
  1262080    1.558    0.000   12.496    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
  2524160    1.509    0.000    7.900    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  8841984    1.452    0.000    1.460    0.000 {built-in method builtins.isinstance}
  1262080    1.423    0.000    4.865    0.000 {method 'view' of 'numpy.ndarray' objects}
  1262089    0.756    0.000    0.756    0.000 {built-in method numpy.asarray}
  1262080    0.704    0.000    1.226    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
        8    0.699    0.087    0.788    0.099 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
  2531546    0.623    0.000    0.623    0.000 {built-in method builtins.getattr}
  1262720    0.607    0.000    0.607    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
       17    0.550    0.032   47.815    2.813 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
  1262080    0.522    0.000    0.522    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  2524160    0.433    0.000    0.433    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
  1262080    0.269    0.000    0.269    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
  1262720    0.253    0.000    0.253    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
  1262080    0.225    0.000    0.225    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
79481/70920    0.121    0.000    7.308    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
    15776    0.119    0.000   44.224    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
    15484    0.098    0.000   16.277    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
    15776    0.082    0.000   20.645    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
    15861    0.079    0.000    0.401    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
    15776    0.070    0.000    0.165    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
79481/77717    0.063    0.000    0.087    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
15776/6312    0.054    0.000   47.693    0.008 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
15776/6312    0.051    0.000   39.285    0.006 /home/speron/paralela/dinamic_ga/n16_ps1024_4t/dgamod.py:332(<lambda>)
        8    0.048    0.006    0.102    0.013 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
    15776    0.045    0.000   11.801    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
    15776    0.042    0.000   16.798    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
    15776    0.042    0.000   28.117    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
    63104    0.038    0.000    0.038    0.000 {method '__enter__' of '_thread.RLock' objects}
    15793    0.037    0.000   39.049    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
62445/62144    0.035    0.000    0.034    0.000 {method 'acquire' of '_thread.lock' objects}
     7376    0.034    0.000    0.083    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
    15776    0.031    0.000    3.223    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
    15776    0.030    0.000    7.848    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
    15776    0.029    0.000    0.059    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
15776/6312    0.028    0.000   42.747    0.007 /home/speron/paralela/dinamic_ga/n16_ps1024_4t/dgamod.py:334(<lambda>)
    15784    0.027    0.000    0.027    0.000 {built-in method numpy.zeros}
    84574    0.026    0.000    0.026    0.000 {built-in method builtins.len}
    47583    0.026    0.000    0.026    0.000 {built-in method builtins.hasattr}
     7413    0.021    0.000    0.021    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    15777    0.021    0.000    0.021    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
    47946    0.020    0.000    0.020    0.000 {method '__exit__' of '_thread.lock' objects}
    63314    0.020    0.000    0.020    0.000 {method '__exit__' of '_thread.RLock' objects}
    15844    0.019    0.000    0.046    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:428(notify_all)
    14835    0.018    0.000    0.028    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
     7405    0.017    0.000    0.047    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    16309    0.017    0.000    0.024    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:398(notify)
     1632    0.016    0.000    0.016    0.000 {method 'index' of 'list' objects}
       17    0.015    0.001    0.020    0.001 {built-in method builtins.sorted}
    16005    0.014    0.000    0.024    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:318(_is_owned)
    68/17    0.014    0.000   47.211    2.777 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:998(_bootstrap)
    15472    0.013    0.000    0.021    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:312(_release_save)
    30787    0.013    0.000    0.013    0.000 {built-in method time.monotonic}
    15472    0.013    0.000    4.341    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:315(_acquire_restore)
   465/70    0.012    0.000   29.788    0.426 {method 'get' of '_queue.SimpleQueue' objects}
    17539    0.012    0.000    0.012    0.000 {method 'copy' of 'numpy.ndarray' objects}
16377/14316    0.012    0.000    0.009    0.000 {method '__enter__' of '_thread.lock' objects}
    15861    0.011    0.000    0.011    0.000 {method 'put' of '_queue.SimpleQueue' objects}
    15844    0.011    0.000    0.011    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
    15501    0.009    0.000    0.009    0.000 {method 'remove' of 'collections.deque' objects}
     7386    0.008    0.000    0.054    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3328(prod)
    15784    0.008    0.000    0.008    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
    15573    0.008    0.000    0.008    0.000 {method 'release' of '_thread.lock' objects}
    31564    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    15484    0.008    0.000    0.008    0.000 {method 'append' of 'collections.deque' objects}
    15776    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
        8    0.007    0.001    0.008    0.001 /home/speron/paralela/dinamic_ga/n16_ps1024_4t/dgamod.py:69(fidelity)
    15484    0.007    0.000    0.007    0.000 {built-in method _thread.allocate_lock}
       17    0.007    0.000   10.491    0.617 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:583(map)
    15776    0.006    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:48(__init__)
    23568    0.006    0.000    0.006    0.000 {method 'getrandbits' of '_random.Random' objects}
    15776    0.006    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
    15776    0.005    0.000    0.005    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:398(__get_result)
    17408    0.005    0.000    0.005    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/nsga2.py:264(<lambda>)
    15788    0.005    0.000    0.005    0.000 {method '_is_owned' of '_thread.RLock' objects}
    14835    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
  465/391    0.004    0.000    7.974    0.020 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:519(release)
     7376    0.004    0.000    0.008    0.000 <frozen abc>:117(__instancecheck__)
       32    0.004    0.000    0.004    0.000 {method 'tolist' of 'numpy.ndarray' objects}
    14889    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
     7376    0.004    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
    15784    0.004    0.000    0.004    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2114(_shape_dispatcher)
       18    0.003    0.000   22.864    1.270 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2337(best_solution)
       68    0.003    0.000    0.003    0.000 {built-in method _thread.start_joinable_thread}
       17    0.003    0.000    0.025    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/parent_selection.py:12(steady_state_selection)
