chain_length,pop_size,total_time,min_memory,max_memory,max_memory_increment
16,1024,26.473536491394043,123.05078125,124.36328125,0.4375
16,1024,25.372620344161987,124.36328125,125.67578125,0.4375
16,1024,25.679685592651367,122.2421875,123.5546875,0.4375
16,1024,25.989359140396118,121.71875,125.7421875,0.4375
16,1024,26.474812746047974,123.90625,125.21875,0.4375
16,1024,26.337366819381714,120.7109375,122.8984375,0.4375
16,1024,26.142632484436035,120.5078125,124.6484375,0.4375
16,1024,26.529682159423828,122.2578125,124.0078125,0.875
16,1024,27.01134419441223,121.18359375,122.93359375,0.4375
16,1024,24.734081268310547,120.36328125,124.24609375,0.4375
16,1024,25.9975163936615,122.11328125,124.30078125,0.4375
16,1024,27.480021238327026,120.515625,121.828125,0.4375
16,1024,24.91075110435486,119.875,124.453125,0.4375
16,1024,27.062633275985718,122.5,123.8125,0.4375
16,1024,26.98909854888916,120.1796875,121.4921875,0.4375
16,1024,31.11782717704773,119.63671875,122.8046875,0.4375
16,1024,26.263092756271362,121.38671875,121.38671875,0.0
16,1024,24.713669776916504,120.8125,123.13671875,0.0
16,1024,27.19971466064453,121.25,123.4375,0.4375
16,1024,26.299790620803833,122.05078125,122.92578125,0.4375
16,1024,26.66426134109497,121.87109375,125.11328125,0.0
16,1024,24.19659733772278,123.18359375,125.37109375,0.875
16,1024,26.365966320037842,121.7109375,124.3359375,0.875
16,1024,26.13763165473938,124.45703125,126.5234375,0.0
16,1024,26.047746181488037,124.45703125,127.08203125,0.875
16,1024,25.97882628440857,123.31640625,124.62890625,0.4375
16,1024,25.029253721237183,124.7109375,126.81640625,0.0
16,1024,25.349729299545288,124.7109375,126.0234375,0.4375
16,1024,26.299853324890137,123.9375,124.8125,0.875
16,1024,27.630176782608032,123.09375,126.5625,0.0
16,1024,26.653324127197266,123.96875,126.15625,0.4375
16,1024,26.079632997512817,123.27734375,125.02734375,0.4375
16,1024,26.40845561027527,122.4375,126.77734375,0.4375
16,1024,30.446483850479126,125.0625,126.375,0.4375
16,1024,25.838013648986816,122.09765625,123.84765625,0.4375
16,1024,25.803226470947266,124.23828125,126.03515625,0.0
16,1024,26.562679052352905,124.23828125,125.55078125,0.4375
16,1024,26.604856491088867,122.4921875,123.8046875,0.4375
16,1024,25.141618013381958,121.52734375,125.5546875,0.0
16,1024,26.314733505249023,123.71484375,125.46484375,0.875
16,1024,26.371333837509155,121.7578125,123.0703125,0.4375
16,1024,26.402698278427124,123.04296875,125.2578125,0.0
16,1024,25.70207715034485,123.04296875,124.79296875,0.4375
16,1024,27.705495357513428,122.55859375,123.87109375,0.4375
16,1024,26.448678016662598,122.53515625,126.05859375,0.0
16,1024,28.387053728103638,124.28515625,126.03515625,0.875
16,1024,27.646275758743286,123.57421875,125.32421875,0.4375
16,1024,27.587640523910522,123.63671875,127.07421875,0.0
16,1024,25.280593395233154,125.82421875,126.69921875,0.4375
16,1024,25.20457935333252,124.1328125,125.8828125,0.4375
16,1024,26.527678966522217,126.203125,127.6328125,0.0
16,1024,27.799121141433716,125.765625,126.640625,0.4375
16,1024,25.47229242324829,123.6640625,125.4140625,0.4375
16,1024,27.38871932029724,123.453125,126.7265625,0.4375
16,1024,25.398714780807495,125.203125,126.953125,0.875
16,1024,26.789779663085938,123.90234375,125.65234375,0.4375
16,1024,26.251554250717163,123.41015625,126.08984375,0.0
16,1024,25.50533127784729,125.59765625,126.91015625,0.4375
16,1024,27.809560537338257,124.03515625,125.78515625,0.4375
16,1024,27.522985219955444,123.7421875,126.22265625,0.0
16,1024,25.553368091583252,125.0546875,125.0546875,0.0
16,1024,26.810279369354248,123.62890625,126.8046875,0.0
16,1024,26.15544319152832,126.25390625,128.00390625,0.4375
16,1024,26.716333866119385,126.3125,128.00390625,0.0
16,1024,25.97735571861267,124.04296875,125.79296875,0.4375
16,1024,24.98399806022644,123.7890625,126.23046875,0.4375
16,1024,26.162427186965942,125.5390625,125.9765625,0.4375
16,1024,26.22584581375122,124.1875,126.375,0.4375
16,1024,26.48238754272461,124.1796875,126.375,0.0
16,1024,25.794495105743408,125.9296875,125.9296875,0.0
16,1024,25.636149168014526,127.2421875,127.2421875,0.0
16,1024,26.44127607345581,123.94140625,125.93359375,0.0
16,1024,25.452078342437744,126.56640625,127.44140625,0.4375
16,1024,25.64503765106201,125.29296875,126.60546875,0.4375
16,1024,25.67547059059143,126.60546875,128.35546875,0.4375
16,1024,27.01066517829895,127.17578125,127.61328125,0.4375
16,1024,24.62160563468933,127.61328125,127.61328125,0.0
16,1024,24.09213352203369,128.05078125,128.48828125,0.4375
16,1024,24.94657063484192,125.24609375,126.55859375,0.4375
16,1024,26.734472513198853,126.35546875,128.30859375,0.0
16,1024,24.855335235595703,126.35546875,127.66796875,0.4375
16,1024,25.826733350753784,123.31640625,125.50390625,0.875
16,1024,25.94305682182312,126.125,128.12890625,0.0
16,1024,26.263244152069092,126.125,127.875,0.4375
16,1024,26.158992767333984,125.4921875,125.9296875,0.4375
16,1024,25.757071018218994,124.46875,128.5546875,0.0
16,1024,26.481079816818237,126.21875,127.53125,0.4375
16,1024,25.388646364212036,124.609375,125.921875,0.4375
16,1024,24.66821575164795,123.609375,127.671875,0.0
16,1024,25.645878791809082,126.234375,128.421875,0.875
16,1024,26.96113419532776,124.34375,126.53125,0.4375
