Fri Feb 21 11:34:32 2025    n64_ps1024_8t_J/ppfunction_results.prof

         1852081 function calls (1678055 primitive calls) in 12.516 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
788568/635327    7.785    0.000    6.765    0.000 /home/speron/paralela/vect/dinamic_ga/n64_ps1024_8t_J/dgamod.py:740(refined_cns)
  2472/18    2.406    0.001    0.086    0.005 /home/speron/paralela/vect/dinamic_ga/n64_ps1024_8t_J/dgamod.py:785(generate_states)
   788568    0.624    0.000    0.624    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.496    0.248    0.513    0.256 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
2472/2400    0.332    0.000    0.482    0.000 /home/speron/paralela/vect/dinamic_ga/n64_ps1024_8t_J/dgamod.py:766(calculate_reward)
  7416/59    0.150    0.000    0.001    0.000 {built-in method numpy.zeros}
        3    0.144    0.048   11.952    3.984 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
     3929    0.046    0.000    0.046    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2472    0.033    0.000    0.042    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:64(zeros_like)
  2472/17    0.031    0.000    0.085    0.005 /home/speron/paralela/vect/dinamic_ga/n64_ps1024_8t_J/dgamod.py:751(reward_based_fitness_vectorized)
2472/2431    0.030    0.000    0.030    0.000 {built-in method numpy.arange}
3929/3928    0.026    0.000    0.077    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
2472/2410    0.025    0.000    0.056    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
  2472/17    0.024    0.000   11.695    0.688 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
