chain_length,pop_size,total_time,min_memory,max_memory,max_memory_increment
64,1024,10.483256816864014,230.859375,239.64453125,1.3125
64,1024,10.571750164031982,235.1796875,240.4296875,0.875
64,1024,10.47890591621399,247.4296875,254.63671875,2.39453125
64,1024,10.429800033569336,262.578125,270.453125,0.875
64,1024,10.346545219421387,277.88671875,286.63671875,1.3125
64,1024,10.234699010848999,291.44140625,291.88671875,0.4375
64,1024,10.447394847869873,292.3125,292.75390625,0.4375
64,1024,10.575583696365356,292.30859375,292.75,0.4375
64,1024,10.415532350540161,292.3046875,292.74609375,0.0
64,1024,10.24120569229126,294.9296875,297.9921875,0.875
64,1024,10.199928760528564,297.9921875,298.8671875,0.4375
64,1024,10.312527894973755,298.42578125,299.30078125,0.4375
64,1024,10.733022212982178,298.85546875,299.30078125,0.4375
64,1024,10.276292085647583,298.40625,299.29296875,0.4375
64,1024,10.363768815994263,285.9375,286.375,0.0
64,1024,10.514415740966797,285.93359375,287.24609375,0.875
64,1024,10.355917692184448,286.8046875,287.24609375,0.4375
64,1024,10.458743572235107,286.796875,288.546875,0.4375
64,1024,10.503297567367554,292.4765625,293.359375,0.4375
64,1024,10.385035991668701,293.34375,295.09375,0.875
64,1024,10.184053659439087,295.0859375,295.53125,0.0
64,1024,10.659788608551025,294.64453125,295.0859375,0.0
64,1024,10.47262191772461,296.81640625,299.87890625,1.3125
64,1024,10.345462799072266,299.875,300.31640625,0.4375
64,1024,10.40839695930481,299.875,300.75,0.4375
64,1024,10.21866488456726,300.3125,300.75,0.4375
64,1024,10.470906972885132,289.83203125,300.75,0.0
64,1024,10.276613235473633,289.390625,289.83203125,0.4375
64,1024,10.451387643814087,289.82421875,290.265625,0.4375
64,1024,10.602351188659668,290.69140625,291.13671875,0.0
64,1024,10.081398010253906,290.6875,297.25,0.875
64,1024,10.428252935409546,300.74609375,301.1875,0.0
64,1024,10.337139368057251,300.30078125,300.74609375,0.4375
64,1024,10.411242723464966,300.73828125,301.17578125,0.4375
64,1024,10.378873109817505,300.73046875,301.17578125,0.4375
64,1024,10.444612741470337,288.078125,288.51953125,0.0
64,1024,10.367527723312378,287.6328125,288.078125,0.0
64,1024,10.2411470413208,286.75,287.6328125,0.4375
64,1024,10.282813549041748,286.75,288.9375,0.875
64,1024,10.453703880310059,296.37109375,299.87109375,0.875
64,1024,10.524918794631958,299.87109375,299.87109375,0.0
64,1024,10.268515348434448,299.43359375,299.87109375,0.0
64,1024,10.4563467502594,299.86328125,300.30859375,0.0
64,1024,10.324795961380005,289.4140625,299.42578125,0.4375
64,1024,10.279814720153809,288.9765625,290.2890625,0.4375
64,1024,10.35861086845398,289.40625,290.2890625,0.4375
64,1024,10.281771183013916,290.28125,290.71875,0.4375
64,1024,10.58732295036316,291.15234375,298.15234375,1.75
64,1024,10.387704610824585,302.51953125,302.96484375,0.4375
64,1024,10.24568772315979,302.51953125,302.51953125,0.0
