Mon Jan 27 18:12:20 2025    n16_ps256_4t/ppfunction_results.prof

         11409911 function calls (10820726 primitive calls) in 12.992 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3952/2313    1.923    0.000    9.963    0.004 /home/speron/paralela/dinamic_ga/n16_ps256_4t/dgamod.py:143(reward_based_fitness)
316160/185128    1.788    0.000    1.212    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
316160/185128    1.769    0.000    8.743    0.000 /home/speron/paralela/dinamic_ga/n16_ps256_4t/dgamod.py:113(calculate_next_state)
1580800/1264640    1.405    0.000    1.664    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
   316160    0.869    0.000    0.869    0.000 {built-in method _warnings.warn}
   316160    0.595    0.000    2.864    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
   632320    0.540    0.000    1.036    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   632320    0.485    0.000    1.686    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   316160    0.451    0.000    3.315    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
   632320    0.383    0.000    2.069    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  2215016    0.374    0.000    0.377    0.000 {built-in method builtins.isinstance}
   316160    0.368    0.000    1.287    0.000 {method 'view' of 'numpy.ndarray' objects}
        8    0.240    0.030    0.272    0.034 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
   316169    0.237    0.000    0.237    0.000 {built-in method numpy.asarray}
   316160    0.180    0.000    0.318    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
   634178    0.169    0.000    0.169    0.000 {built-in method builtins.getattr}
   316800    0.152    0.000    0.152    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
   316160    0.138    0.000    0.138    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
       17    0.118    0.007   12.643    0.744 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
   632320    0.109    0.000    0.109    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
   316160    0.070    0.000    0.070    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
   316800    0.066    0.000    0.066    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
   316160    0.060    0.000    0.060    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
     3952    0.032    0.000    5.527    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
     3848    0.028    0.000    3.938    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
        8    0.026    0.003    0.056    0.007 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
     3952    0.021    0.000    1.849    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
     4037    0.019    0.000    0.356    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
     3952    0.018    0.000    0.043    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
20157/17601    0.017    0.000    0.051    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
20157/19270    0.016    0.000    0.022    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
     3952    0.012    0.000    4.652    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
     1848    0.012    0.000    0.029    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
     1885    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
3952/2313    0.012    0.000   12.147    0.005 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
     3952    0.011    0.000    7.892    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
3952/2313    0.011    0.000   10.690    0.005 /home/speron/paralela/dinamic_ga/n16_ps256_4t/dgamod.py:332(<lambda>)
15687/15413    0.010    0.000    0.010    0.000 {method 'acquire' of '_thread.lock' objects}
     3952    0.010    0.000    2.786    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
    15808    0.010    0.000    0.010    0.000 {method '__enter__' of '_thread.RLock' objects}
     1877    0.009    0.000    0.026    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
     3952    0.009    0.000    0.910    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
     3952    0.008    0.000    0.689    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
     3969    0.008    0.000    7.992    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
    21198    0.008    0.000    0.008    0.000 {built-in method builtins.len}
     3960    0.008    0.000    0.008    0.000 {built-in method numpy.zeros}
     3952    0.007    0.000    0.015    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
        8    0.007    0.001    0.008    0.001 /home/speron/paralela/dinamic_ga/n16_ps256_4t/dgamod.py:69(fidelity)
     3707    0.007    0.000    0.011    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
    12111    0.007    0.000    0.007    0.000 {built-in method builtins.hasattr}
       17    0.006    0.000    5.823    0.343 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:583(map)
   261/37    0.006    0.000   10.115    0.273 {method 'get' of '_queue.SimpleQueue' objects}
     3953    0.006    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
