Fri Feb 21 11:32:15 2025    n32_ps4096_32t_J/ppfunction_results.prof

         5009178 function calls (3195549 primitive calls) in 21.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1858392/186226   10.626    0.000    0.939    0.000 /home/speron/paralela/vect/dinamic_ga/n32_ps4096_32t_J/dgamod.py:740(refined_cns)
11688/324    4.548    0.000   13.216    0.041 /home/speron/paralela/vect/dinamic_ga/n32_ps4096_32t_J/dgamod.py:785(generate_states)
11688/1631    1.217    0.000   12.455    0.008 /home/speron/paralela/vect/dinamic_ga/n32_ps4096_32t_J/dgamod.py:766(calculate_reward)
  1858392    1.214    0.000    1.214    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    1.032    0.516    1.102    0.551 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
        3    0.377    0.126   20.565    6.855 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
35064/1048    0.288    0.000    0.008    0.000 {built-in method numpy.zeros}
11688/324    0.187    0.000   13.272    0.041 /home/speron/paralela/vect/dinamic_ga/n32_ps4096_32t_J/dgamod.py:751(reward_based_fitness_vectorized)
    19289    0.162    0.000    0.162    0.000 {method 'reduce' of 'numpy.ufunc' objects}
11688/10235    0.131    0.000    0.145    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:64(zeros_like)
11688/5134    0.125    0.000    0.060    0.000 {built-in method numpy.arange}
    11787    0.123    0.000    0.162    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
11688/6829    0.106    0.000    0.149    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
11688/324    0.102    0.000   19.620    0.061 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
19289/16953    0.102    0.000    0.236    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    11688    0.088    0.000    2.088    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
    10613    0.074    0.000   42.987    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
11688/8564    0.069    0.000    0.242    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
11688/324    0.069    0.000   13.442    0.041 /home/speron/paralela/vect/dinamic_ga/n32_ps4096_32t_J/dgamod.py:333(<lambda>)
59927/55946    0.063    0.000    0.086    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
59927/50303    0.062    0.000    0.098    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
    11688    0.062    0.000    0.666    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
   1295/9    0.055    0.000    7.236    0.804 {method 'get' of '_queue.SimpleQueue' objects}
11688/9015    0.045    0.000    0.077    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
        2    0.044    0.022    0.094    0.047 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
46752/46281    0.044    0.000    0.043    0.000 {method '__enter__' of '_thread.RLock' objects}
    95922    0.041    0.000    0.041    0.000 {built-in method builtins.len}
11688/324    0.040    0.000   13.643    0.042 /home/speron/paralela/vect/dinamic_ga/n32_ps4096_32t_J/dgamod.py:335(<lambda>)
    11688    0.036    0.000   42.501    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
    11688    0.032    0.000   42.589    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
43789/42466    0.030    0.000    0.029    0.000 {method 'acquire' of '_thread.lock' objects}
11784/10129    0.027    0.000    0.061    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:428(notify_all)
     7592    0.027    0.000    0.065    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
    11688    0.026    0.000    1.380    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
13079/12404    0.026    0.000    0.036    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:398(notify)
    11688    0.025    0.000    0.053    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
    11688    0.023    0.000    0.303    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
    47046    0.023    0.000    0.023    0.000 {method '__exit__' of '_thread.RLock' objects}
    23376    0.022    0.000    0.022    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
    11691    0.021    0.000   42.753    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
    35361    0.020    0.000    0.020    0.000 {built-in method builtins.hasattr}
