chain_length,pop_size,total_time,min_memory,max_memory,max_memory_increment
32,4096,17.68558931350708,200.32421875,220.10546875,2.51953125
32,4096,17.784547567367554,220.45703125,220.45703125,0.0
32,4096,17.997952222824097,224.546875,225.4296875,0.4375
32,4096,17.915332555770874,224.5234375,228.9921875,2.28125
32,4096,17.841439962387085,215.7578125,234.43359375,2.3984375
32,4096,17.68937397003174,220.85546875,227.4296875,2.38671875
32,4096,17.771048307418823,207.21875,220.43359375,2.33984375
32,4096,17.683490991592407,231.42578125,232.73828125,0.4375
32,4096,17.675469636917114,232.6953125,233.59765625,0.4375
32,4096,17.54145121574402,207.55859375,220.95703125,2.3046875
32,4096,17.75157070159912,220.5078125,235.41796875,2.4296875
32,4096,17.79879665374756,218.6171875,238.03515625,0.4375
32,4096,16.429302215576172,222.61328125,228.609375,2.24609375
32,4096,16.90873908996582,218.90625,229.4296875,0.4375
32,4096,17.09138059616089,204.12109375,222.2265625,2.4453125
32,4096,17.43723487854004,234.13671875,235.48828125,0.4375
32,4096,16.730543613433838,221.57421875,227.02734375,2.40234375
32,4096,16.602965831756592,211.8125,232.3125,0.4375
32,4096,16.719081163406372,226.390625,239.46484375,2.6640625
32,4096,16.83629298210144,222.00390625,241.6328125,0.4375
32,4096,16.486321687698364,226.7265625,231.72265625,2.55859375
32,4096,16.309282064437866,221.8359375,232.12890625,0.4375
32,4096,16.81468939781189,207.7265625,226.28125,2.61328125
32,4096,16.890297651290894,235.6484375,236.5234375,0.4375
32,4096,16.820672273635864,222.15234375,227.00390625,2.2265625
32,4096,16.64536166191101,232.42578125,232.890625,0.4375
32,4096,16.414172410964966,208.171875,227.5625,2.04296875
32,4096,16.845444679260254,227.26171875,237.95703125,2.38671875
32,4096,16.734232425689697,224.09375,238.38671875,0.4375
32,4096,16.67734956741333,228.21484375,233.62109375,2.09375
32,4096,16.772528886795044,213.62109375,229.1796875,2.25
32,4096,16.95553183555603,237.83984375,238.71484375,0.4375
32,4096,16.89517569541931,223.8203125,229.16796875,2.28515625
32,4096,16.782580375671387,234.94140625,236.69140625,0.4375
32,4096,16.606079578399658,209.76171875,229.01171875,2.09375
32,4096,16.56465768814087,228.11328125,237.87109375,2.41015625
32,4096,16.81509757041931,223.8515625,238.72265625,0.4375
32,4096,16.568915605545044,227.73828125,233.16796875,2.5546875
32,4096,16.68138313293457,213.2265625,227.515625,2.25
32,4096,16.678866863250732,241.90625,242.34375,0.4375
32,4096,16.7721529006958,222.71875,227.5703125,2.2265625
32,4096,17.05803084373474,232.80078125,234.11328125,0.4375
32,4096,16.177927255630493,209.15625,228.65234375,2.34375
32,4096,16.844619274139404,227.5859375,237.17578125,2.43359375
32,4096,16.62475562095642,224.08984375,239.36328125,0.4375
32,4096,16.712392330169678,229.96484375,235.39453125,2.1171875
32,4096,16.82240104675293,225.00390625,235.37109375,0.0
32,4096,16.65607500076294,210.140625,227.99609375,2.4453125
32,4096,16.621504545211792,238.1171875,238.5703125,0.4375
32,4096,16.498631238937378,223.51171875,228.1875,2.05078125
