chain_length,fitness,mean_time,std
8,optimized,0.00013306140899658204,1.1303292714924558e-05
8,vectorized,0.00012905597686767577,1.7915816199499223e-05
8,original,0.0004133462905883789,2.1679942673985035e-05
16,optimized,0.0002757072448730469,6.348085885607999e-06
16,vectorized,0.00023136138916015624,8.24697029662493e-06
16,original,0.0008585453033447266,2.1965585339128534e-05
24,optimized,0.0004464864730834961,1.031253375008711e-05
24,vectorized,0.00036301612854003904,1.4394112413983288e-05
24,original,0.0013261556625366211,1.479478589977657e-05
32,optimized,0.0006652593612670899,8.898866781904168e-06
32,vectorized,0.0005412578582763671,1.540002756439018e-05
32,original,0.0018611907958984374,1.6436170981784266e-05
40,optimized,0.0009841680526733398,1.6861530231326334e-05
40,vectorized,0.0007771492004394531,2.523089951095263e-05
40,original,0.002416181564331055,1.6584826244427446e-05
48,optimized,0.001273965835571289,9.946624499481895e-06
48,vectorized,0.00106964111328125,2.7427280209806567e-05
48,original,0.003077840805053711,2.5794103906389973e-05
56,optimized,0.0016927003860473632,6.737920707239108e-06
56,vectorized,0.0014494657516479492,2.307951230650378e-05
56,original,0.0038141965866088866,1.9804997004602634e-05
