Fri Feb 21 10:41:53 2025    n32_ps512_32t_J/ppfunction_results.prof

         402207 function calls (367046 primitive calls) in 1.922 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1385    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
     3057    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     80/3    0.002    0.000    1.718    0.573 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:981(run)
     80/3    0.002    0.000    1.335    0.445 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:70(_worker)
     3751    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
      849    0.002    0.000    0.002    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
     1876    0.002    0.000    0.002    0.000 {method '__enter__' of '_thread.lock' objects}
      937    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
     1176    0.001    0.000    0.003    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:318(_is_owned)
        1    0.001    0.001    1.919    1.919 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1863(run)
     1872    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2114(_shape_dispatcher)
     1369    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       80    0.001    0.000    0.002    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:869(__init__)
     2560    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/nsga2.py:264(<lambda>)
       80    0.001    0.000    0.551    0.007 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:953(start)
       80    0.001    0.000    0.547    0.007 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:641(wait)
     80/3    0.001    0.000    1.718    0.573 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:998(_bootstrap)
      428    0.001    0.000    0.005    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3328(prod)
      944    0.001    0.000    0.001    0.000 {method '_is_owned' of '_thread.RLock' objects}
      404    0.001    0.000    0.001    0.000 {method 'release' of '_thread.lock' objects}
      936    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2333(_sum_dispatcher)
     1878    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      428    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      936    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
       80    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1047(_delete)
       12    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     1434    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
      936    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     1009    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      936    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:1098(copyto)
        3    0.000    0.000    0.029    0.010 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:583(map)
       80    0.000    0.000    0.003    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:620(set)
      424    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       80    0.000    0.000    6.098    0.076 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1056(join)
      936    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:48(__init__)
      936    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:107(empty_like)
      849    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      936    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:58(_zeros_like_dispatcher)
      936    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:398(__get_result)
      160    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1427(current_thread)
      316    0.000    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:315(_acquire_restore)
      424    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
       80    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/weakref.py:427(__setitem__)
      316    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:312(_release_save)
      320    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.003    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:27(__init__)
      472    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
      324    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
       80    0.000    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:592(__init__)
       81    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/_weakrefset.py:85(add)
      324    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      324    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.003    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2303(run_update_population)
      429    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:383(where)
       80    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
       80    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1018(_set_ident)
        1    0.000    0.000    1.922    1.922 /home/speron/paralela/vect/dinamic_ga/n32_ps512_32t_J/dc_ga_profiling.py:104(target_program)
        4    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2337(best_solution)
       80    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1265(_make_invoke_excepthook)
      160    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1145(daemon)
        3    0.000    0.000    1.721    0.574 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:220(shutdown)
       81    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/_weakrefset.py:39(_remove)
      428    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3323(_prod_dispatcher)
       80    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1022(_set_native_id)
       80    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/weakref.py:369(remove)
        3    0.000    0.000    0.006    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2099(run_select_parents)
      160    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:605(is_set)
        5    0.000    0.000    0.003    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/nsga2.py:229(sort_solutions_nsga2)
        7    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       81    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1323(round_genes)
        8    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/logging/__init__.py:1446(_clear_cache)
        3    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:127(__init__)
