chain_length,pop_size,total_time,min_memory,max_memory,max_memory_increment
32,512,1.4216704368591309,168.28125,169.15625,0.4375
32,512,1.4532055854797363,170.44921875,171.76171875,0.4375
32,512,1.4962148666381836,172.1875,173.0703125,0.4375
32,512,1.5374805927276611,173.0625,173.5,0.4375
32,512,1.4717044830322266,172.61328125,173.48828125,0.4375
32,512,1.4904673099517822,172.13671875,173.4765625,0.0
32,512,1.4769058227539062,171.69140625,173.44140625,0.4375
32,512,1.4553966522216797,174.3046875,176.4921875,0.4375
32,512,1.468583106994629,177.33984375,177.79296875,0.4375
32,512,1.4605271816253662,177.3125,179.0625,0.4375
32,512,1.4838054180145264,180.375,183.0,0.4375
32,512,1.4822018146514893,182.08984375,183.40234375,0.4375
32,512,1.473252296447754,183.37109375,186.87109375,0.4375
32,512,1.4572675228118896,186.8515625,189.9140625,0.4375
32,512,1.4758684635162354,190.7734375,190.7734375,0.0
32,512,1.4779438972473145,189.88671875,190.328125,0.4375
32,512,1.471940040588379,192.94140625,195.56640625,0.875
32,512,1.4661681652069092,195.5390625,195.98828125,0.4375
32,512,1.4441773891448975,194.62890625,195.07421875,0.4375
32,512,1.4704995155334473,194.59765625,195.91015625,0.4375
32,512,1.474607229232788,194.1171875,195.45703125,0.0
32,512,1.4582397937774658,193.67578125,194.55078125,0.4375
32,512,1.478179693222046,194.50390625,194.953125,0.4375
32,512,1.469118356704712,194.93359375,196.24609375,0.4375
32,512,1.47282075881958,194.0,194.90625,0.0
32,512,1.5031921863555908,193.98828125,195.30078125,0.4375
32,512,1.4700291156768799,193.953125,194.83203125,0.0
32,512,1.4584498405456543,194.8125,196.5625,0.4375
32,512,1.4911448955535889,196.078125,196.52734375,0.0
32,512,1.463207483291626,196.51171875,196.953125,0.4375
32,512,1.4765832424163818,195.61328125,196.06640625,0.0
32,512,1.4774107933044434,196.9140625,197.7890625,0.4375
32,512,1.4777002334594727,196.01953125,196.8984375,0.0
32,512,1.4821343421936035,196.421875,197.3203125,0.0
32,512,1.4899017810821533,197.71484375,198.58984375,0.4375
32,512,1.4813036918640137,198.58203125,199.89453125,0.4375
32,512,1.4946269989013672,198.0859375,198.9921875,0.4375
32,512,1.4717788696289062,198.0546875,198.5078125,0.0
32,512,1.476823329925537,197.15234375,198.02734375,0.4375
32,512,1.4953784942626953,198.89453125,199.33203125,0.4375
32,512,1.4828333854675293,199.30078125,199.76171875,0.4375
32,512,1.4859566688537598,200.578125,201.0390625,0.4375
32,512,1.5086092948913574,200.56640625,201.44140625,0.4375
32,512,1.5489494800567627,199.21484375,200.08984375,0.4375
32,512,1.4842443466186523,199.20703125,199.6484375,0.4375
32,512,1.491689920425415,198.74609375,199.63671875,0.0
32,512,1.4853906631469727,199.15234375,199.60546875,0.4375
32,512,1.4695625305175781,198.69140625,199.12890625,0.4375
32,512,1.5054566860198975,198.23046875,199.10546875,0.4375
32,512,1.4875953197479248,199.08984375,200.39453125,0.4375
