Tue Jan 28 12:52:53 2025    n16_ps1024_8t/ppfunction_results.prof

         45542366 function calls (41760191 primitive calls) in 99.331 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
15776/433   16.233    0.001   68.545    0.158 /home/speron/paralela/dinamic_ga/n16_ps1024_8t/dgamod.py:143(reward_based_fitness)
1262080/34554   13.697    0.000   67.959    0.002 /home/speron/paralela/dinamic_ga/n16_ps1024_8t/dgamod.py:113(calculate_next_state)
1262080/34554   13.209    0.000    0.339    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
6310400/5048320   11.223    0.000   13.162    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
  1262080    7.476    0.000    7.476    0.000 {built-in method _warnings.warn}
  1262080    4.486    0.000   23.096    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
  2524160    4.057    0.000   13.128    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
  2524160    4.056    0.000    7.876    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  1262080    3.261    0.000   26.356    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
  2524160    3.030    0.000   16.157    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  1262080    3.018    0.000   10.269    0.000 {method 'view' of 'numpy.ndarray' objects}
  8841984    2.813    0.000    2.822    0.000 {built-in method builtins.isinstance}
  1262089    1.898    0.000    1.898    0.000 {built-in method numpy.asarray}
  1262720    1.424    0.000    1.424    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:84(real)
  1262080    1.285    0.000    2.399    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
  2531546    1.207    0.000    1.207    0.000 {built-in method builtins.getattr}
  1262080    1.115    0.000    1.115    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
  2524160    0.825    0.000    0.825    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:626(_transpose_dispatcher)
        8    0.737    0.092    0.833    0.104 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
       17    0.596    0.035   98.309    5.783 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
  1262720    0.486    0.000    0.486    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/lib/_type_check_impl.py:80(_real_dispatcher)
  1262080    0.446    0.000    0.446    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1617(_squeeze_dispatcher)
  1262080    0.445    0.000    0.445    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:761(dot)
    15776    0.142    0.000    0.330    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
    15776    0.135    0.000    8.971    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
15776/433    0.131    0.000   97.011    0.224 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
15776/433    0.116    0.000   69.004    0.159 /home/speron/paralela/dinamic_ga/n16_ps1024_8t/dgamod.py:332(<lambda>)
    15488    0.106    0.000  183.744    0.012 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
79795/78847    0.087    0.000    0.157    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
    15929    0.086    0.000    0.135    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
79795/79241    0.086    0.000    0.120    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
    15776    0.085    0.000    5.034    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
    15776    0.070    0.000  185.551    0.012 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
        8    0.063    0.008    0.142    0.018 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
    63104    0.062    0.000    0.062    0.000 {method '__enter__' of '_thread.RLock' objects}
    15784    0.061    0.000    0.061    0.000 {built-in method numpy.zeros}
15776/433    0.059    0.000   69.237    0.160 /home/speron/paralela/dinamic_ga/n16_ps1024_8t/dgamod.py:334(<lambda>)
    15776    0.056    0.000    0.113    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
    15776    0.053    0.000  187.859    0.012 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
    15776    0.050    0.000    6.536    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
62569/61817    0.041    0.000    0.040    0.000 {method 'acquire' of '_thread.lock' objects}
     7376    0.037    0.000    0.089    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
    15912    0.036    0.000    0.090    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:428(notify_all)
    15793    0.034    0.000  191.454    0.012 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
    15776    0.034    0.000    0.073    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
    16555    0.033    0.000    0.045    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:398(notify)
     7413    0.032    0.000    0.032    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    84528    0.032    0.000    0.032    0.000 {built-in method builtins.len}
    15776    0.031    0.000    1.206    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
    63518    0.029    0.000    0.029    0.000 {method '__exit__' of '_thread.RLock' objects}
    47787    0.027    0.000    0.027    0.000 {built-in method builtins.hasattr}
   643/52    0.023    0.000   80.461    1.547 {method 'get' of '_queue.SimpleQueue' objects}
    15777    0.023    0.000    0.023    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
     7405    0.023    0.000    0.069    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    48260    0.021    0.000    0.021    0.000 {method '__exit__' of '_thread.lock' objects}
    15912    0.021    0.000    0.021    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
    14845    0.019    0.000    0.029    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
     1632    0.017    0.000    0.017    0.000 {method 'index' of 'list' objects}
    16186    0.016    0.000    0.026    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:318(_is_owned)
    15784    0.015    0.000    0.015    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
       17    0.015    0.001    0.020    0.001 {built-in method builtins.sorted}
    15407    0.014    0.000    0.022    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:312(_release_save)
    17539    0.014    0.000    0.014    0.000 {method 'copy' of 'numpy.ndarray' objects}
    30540    0.014    0.000    0.014    0.000 {built-in method time.monotonic}
    15929    0.014    0.000    0.014    0.000 {method 'put' of '_queue.SimpleQueue' objects}
    15407    0.013    0.000    3.488    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:315(_acquire_restore)
      136    0.011    0.000    0.011    0.000 {built-in method _thread.start_joinable_thread}
16691/16352    0.011    0.000    0.010    0.000 {method '__enter__' of '_thread.lock' objects}
    15490    0.010    0.000    0.010    0.000 {method 'remove' of 'collections.deque' objects}
    15776    0.010    0.000    0.010    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
     7386    0.010    0.000    0.078    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3328(prod)
    15857    0.010    0.000    0.010    0.000 {method '_is_owned' of '_thread.RLock' objects}
    15626    0.009    0.000    0.009    0.000 {method 'release' of '_thread.lock' objects}
    31564    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
    15488    0.008    0.000    0.008    0.000 {method 'append' of 'collections.deque' objects}
    15776    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
        8    0.008    0.001    0.009    0.001 /home/speron/paralela/dinamic_ga/n16_ps1024_8t/dgamod.py:69(fidelity)
    15488    0.008    0.000    0.008    0.000 {built-in method _thread.allocate_lock}
      136    0.008    0.000    0.992    0.007 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:641(wait)
   136/17    0.007    0.000   97.654    5.744 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:998(_bootstrap)
    15784    0.007    0.000    0.007    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2114(_shape_dispatcher)
    15776    0.006    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:48(__init__)
    15776    0.006    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:398(__get_result)
    23306    0.006    0.000    0.006    0.000 {method 'getrandbits' of '_random.Random' objects}
    17408    0.005    0.000    0.005    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/nsga2.py:264(<lambda>)
    14845    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
     7376    0.005    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
       32    0.005    0.000    0.005    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   136/17    0.005    0.000   97.654    5.744 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:1025(_bootstrap_inner)
     7376    0.005    0.000    0.009    0.000 <frozen abc>:117(__instancecheck__)
       18    0.004    0.000   46.056    2.559 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:2337(best_solution)
    15025    0.004    0.000    0.004    0.000 {method 'add' of 'set' objects}
      136    0.004    0.000  166.506    1.224 {method 'join' of '_thread._ThreadHandle' objects}
  643/632    0.004    0.000    0.010    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:519(release)
        1    0.004    0.004   99.329   99.329 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1863(run)
       17    0.003    0.000    0.025    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/parent_selection.py:12(steady_state_selection)
       38    0.003    0.000    0.003    0.000 {built-in method numpy.array}
       17    0.003    0.000    0.074    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:583(map)
