Tue Jan 28 11:02:44 2025    n16_ps512_8t/ppfunction_results.prof

         22776754 function calls (20911516 primitive calls) in 46.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 7888/379    7.107    0.001   35.546    0.094 /home/speron/paralela/dinamic_ga/n16_ps512_8t/dgamod.py:143(reward_based_fitness)
631040/30303    6.714    0.000   35.086    0.001 /home/speron/paralela/dinamic_ga/n16_ps512_8t/dgamod.py:113(calculate_next_state)
631040/30303    6.080    0.000    0.274    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:229(__rmul__)
3155200/2524160    5.328    0.000    6.282    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:172(__array_finalize__)
   631040    3.264    0.000    3.264    0.000 {built-in method _warnings.warn}
   631040    2.280    0.000   10.905    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:117(__new__)
  1262080    1.989    0.000    3.851    0.000 {method 'transpose' of 'numpy.ndarray' objects}
  1262080    1.802    0.000    6.293    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
   631040    1.608    0.000   12.514    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/matrixlib/defmatrix.py:35(asmatrix)
  1262080    1.460    0.000    7.753    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:630(transpose)
  4421016    1.412    0.000    1.417    0.000 {built-in method builtins.isinstance}
   631040    1.408    0.000    4.909    0.000 {method 'view' of 'numpy.ndarray' objects}
   631049    0.764    0.000    0.764    0.000 {built-in method numpy.asarray}
   631040    0.644    0.000    1.151    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1621(squeeze)
  1265778    0.644    0.000    0.644    0.000 {built-in method builtins.getattr}
