Fri Feb 21 11:16:50 2025    n64_ps512_8t_J/ppfunction_results.prof

         701595 function calls (657068 primitive calls) in 4.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
298584/261794    2.842    0.000    2.662    0.000 /home/speron/paralela/vect/dinamic_ga/n64_ps512_8t_J/dgamod.py:740(refined_cns)
   936/17    0.831    0.001    4.177    0.246 /home/speron/paralela/vect/dinamic_ga/n64_ps512_8t_J/dgamod.py:785(generate_states)
   298584    0.208    0.000    0.208    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.162    0.081    0.168    0.084 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
  936/899    0.123    0.000    2.446    0.003 /home/speron/paralela/vect/dinamic_ga/n64_ps512_8t_J/dgamod.py:766(calculate_reward)
        3    0.066    0.022    4.338    1.446 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
  2808/48    0.061    0.000    0.001    0.000 {built-in method numpy.zeros}
     1369    0.016    0.000    0.016    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      600    0.013    0.000    0.013    0.000 {method 'index' of 'list' objects}
      936    0.012    0.000    0.016    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:64(zeros_like)
  936/935    0.011    0.000    0.011    0.000 {built-in method numpy.arange}
   936/16    0.011    0.000    4.180    0.261 /home/speron/paralela/vect/dinamic_ga/n64_ps512_8t_J/dgamod.py:751(reward_based_fitness_vectorized)
  936/935    0.009    0.000    0.021    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
   936/16    0.009    0.000    4.212    0.263 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
1369/1335    0.009    0.000    0.026    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      963    0.006    0.000    0.009    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:281(__init__)
      936    0.006    0.000    0.171    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
  936/902    0.006    0.000    2.298    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
      947    0.006    0.000    4.252    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
4812/4810    0.005    0.000    0.008    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:306(__exit__)
   936/16    0.005    0.000    4.180    0.261 /home/speron/paralela/vect/dinamic_ga/n64_ps512_8t_J/dgamod.py:333(<lambda>)
4812/4808    0.005    0.000    0.009    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:303(__enter__)
3802/3694    0.004    0.000    0.004    0.000 {method 'acquire' of '_thread.lock' objects}
      936    0.004    0.000    0.018    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:472(acquire)
        5    0.004    0.001    0.009    0.002 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/parent_selection.py:12(steady_state_selection)
     7389    0.004    0.000    0.004    0.000 {built-in method builtins.len}
        4    0.004    0.001    0.004    0.001 {method 'tolist' of 'numpy.ndarray' objects}
     3744    0.004    0.000    0.004    0.000 {method '__enter__' of '_thread.RLock' objects}
      936    0.004    0.000    4.116    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:428(result)
        1    0.004    0.004    0.004    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1336(initialize_population)
      936    0.003    0.000    0.007    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:497(set_running_or_notify_cancel)
    84/11    0.003    0.000    4.251    0.386 {method 'get' of '_queue.SimpleQueue' objects}
     2445    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.003    0.001    0.006    0.003 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/mutation.py:419(swap_mutation)
      936    0.003    0.000    4.123    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:314(_result_or_cancel)
     1044    0.002    0.000    0.004    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:398(notify)
      424    0.002    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:363(sample)
      960    0.002    0.000    0.006    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:428(notify_all)
     1872    0.002    0.000    0.002    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2118(shape)
     3822    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.RLock' objects}
   936/16    0.002    0.000    4.211    0.263 /home/speron/paralela/vect/dinamic_ga/n64_ps512_8t_J/dgamod.py:335(<lambda>)
      936    0.002    0.000    0.004    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:364(cancel)
      936    0.002    0.000    0.153    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:184(_adjust_thread_count)
        5    0.002    0.000    0.003    0.001 {built-in method builtins.sorted}
      939    0.002    0.000    4.136    0.004 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:612(result_iterator)
     1385    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       24    0.002    0.000    0.002    0.000 {built-in method _thread.start_joinable_thread}
      936    0.002    0.000    0.011    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:328(__init__)
        1    0.002    0.002    4.524    4.524 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1863(run)
     2889    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      848    0.001    0.000    0.002    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
      960    0.001    0.000    0.001    0.000 {method 'get_nowait' of '_queue.SimpleQueue' objects}
      937    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:122(RLock)
     2943    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
     1369    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1872    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2114(_shape_dispatcher)
     2560    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/nsga2.py:264(<lambda>)
      963    0.001    0.000    0.001    0.000 {method 'put' of '_queue.SimpleQueue' objects}
       24    0.001    0.000    7.050    0.294 {method 'join' of '_thread._ThreadHandle' objects}
     1008    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:318(_is_owned)
      971    0.001    0.000    0.001    0.000 {method 'release' of '_thread.lock' objects}
      900    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:312(_release_save)
      900    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:315(_acquire_restore)
      983    0.001    0.000    0.001    0.000 {method '_is_owned' of '_thread.RLock' objects}
     1752    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
     1068    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
      936    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2333(_sum_dispatcher)
      936    0.001    0.000    0.001    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
     1878    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      428    0.001    0.000    0.004    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3328(prod)
      947    0.001    0.000    0.001    0.000 {method 'remove' of 'collections.deque' objects}
     24/3    0.001    0.000    4.251    1.417 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:981(run)
       12    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      936    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/multiarray.py:1098(copyto)
      936    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     24/3    0.000    0.000    4.251    1.417 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:70(_worker)
      947    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     1442    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      428    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      947    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      936    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:58(_zeros_like_dispatcher)
      936    0.000    0.000    0.000    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:398(__get_result)
