chain_length,pop_size,total_time,min_memory,max_memory,max_memory_increment
16,4096,113.7467577457428,142.26171875,147.07421875,0.875
16,4096,112.94895529747009,141.23046875,150.2734375,0.875
16,4096,110.44768023490906,145.0859375,151.984375,0.0
16,4096,111.70699715614319,142.6328125,149.4609375,0.875
16,4096,113.75495338439941,142.07421875,151.41015625,0.875
16,4096,113.0352029800415,144.47265625,151.1484375,0.0
16,4096,111.32506728172302,143.0,149.72265625,0.875
16,4096,112.37120914459229,142.9921875,151.7890625,0.875
16,4096,113.20821785926819,145.0703125,152.24609375,0.0
16,4096,113.2173502445221,142.84765625,149.4453125,0.875
16,4096,113.72252607345581,143.4140625,152.34765625,0.875
16,4096,115.87766289710999,144.640625,152.24609375,0.0
16,4096,113.96432542800903,142.9140625,149.890625,0.875
16,4096,115.18611192703247,142.4375,151.4609375,0.875
16,4096,115.67820882797241,145.0703125,151.953125,0.4375
16,4096,115.16405940055847,144.51171875,149.32421875,1.3125
16,4096,116.57274675369263,144.82421875,148.76171875,0.875
16,4096,114.69522380828857,144.390625,151.390625,0.875
16,4096,114.52736473083496,137.76953125,151.828125,4.00390625
16,4096,116.24851655960083,142.3125,149.2109375,0.875
16,4096,116.14220404624939,150.625,152.84765625,2.22265625
16,4096,116.2936635017395,146.1015625,148.2890625,0.875
16,4096,116.74666547775269,147.8515625,150.0390625,0.875
16,4096,114.62654042243958,144.83984375,151.83984375,0.875
16,4096,115.32958817481995,145.13671875,152.6328125,2.24609375
16,4096,114.12703895568848,146.0390625,146.0390625,0.0
16,4096,115.88188886642456,145.9296875,150.4140625,0.0
16,4096,114.45864701271057,145.828125,154.66796875,2.17578125
16,4096,115.64147233963013,146.05078125,152.828125,0.0
16,4096,117.3879747390747,151.73828125,152.17578125,0.4375
16,4096,115.42422103881836,147.38671875,154.36328125,0.875
16,4096,117.76918864250183,147.984375,154.82421875,0.0
16,4096,114.11176562309265,150.609375,152.796875,0.4375
16,4096,116.03463673591614,152.796875,152.796875,0.0
16,4096,112.52962970733643,148.375,154.984375,0.4375
16,4096,116.14802145957947,148.56640625,155.375,0.0
16,4096,114.60794019699097,147.02734375,153.81640625,0.875
16,4096,112.58132004737854,145.671875,154.84765625,0.875
16,4096,112.32083320617676,147.515625,154.8515625,0.0
16,4096,111.87507319450378,144.98046875,151.890625,0.875
16,4096,112.26658630371094,144.63671875,153.73046875,0.875
16,4096,112.66306138038635,147.27734375,154.2578125,0.0
16,4096,112.03909611701965,141.921875,151.65234375,0.875
16,4096,111.44275164604187,151.109375,153.8984375,2.3515625
16,4096,110.06298041343689,146.71875,153.71875,0.875
16,4096,110.80280327796936,146.9921875,149.1796875,0.875
16,4096,113.19665813446045,151.3671875,151.8046875,0.4375
16,4096,111.97161936759949,147.0703125,154.0703125,0.875
16,4096,111.94853353500366,147.640625,149.828125,0.875
16,4096,110.4272472858429,152.453125,152.453125,0.0
16,4096,112.69135642051697,147.98046875,154.54296875,0.875
16,4096,112.80859899520874,147.59765625,150.22265625,0.875
16,4096,112.94624614715576,152.41015625,152.41015625,0.0
16,4096,112.22303199768066,147.86328125,153.98828125,0.875
16,4096,113.56226348876953,147.453125,150.078125,0.875
16,4096,112.03681659698486,152.265625,154.453125,0.875
16,4096,113.89211940765381,147.515625,154.078125,0.875
