Fri Feb 21 10:48:28 2025    n32_ps1024_32t_J/ppfunction_results.prof

         1060011 function calls (806844 primitive calls) in 5.176 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
393048/159797    2.446    0.000    1.032    0.000 /home/speron/paralela/vect/dinamic_ga/n32_ps1024_32t_J/dgamod.py:740(refined_cns)
 2472/606    0.997    0.000    1.922    0.003 /home/speron/paralela/vect/dinamic_ga/n32_ps1024_32t_J/dgamod.py:785(generate_states)
2472/1290    0.293    0.000    2.041    0.002 /home/speron/paralela/vect/dinamic_ga/n32_ps1024_32t_J/dgamod.py:766(calculate_reward)
   393048    0.286    0.000    0.286    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.264    0.132    0.283    0.142 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/utils/crossover.py:153(uniform_crossover)
        3    0.106    0.035    4.852    1.617 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/pygad/pygad.py:1632(cal_pop_fitness)
7416/1873    0.069    0.000    0.017    0.000 {built-in method numpy.zeros}
   1107/6    0.068    0.000    3.355    0.559 {method 'get' of '_queue.SimpleQueue' objects}
 2472/603    0.051    0.000    4.137    0.007 /home/speron/paralela/vect/dinamic_ga/n32_ps1024_32t_J/dgamod.py:751(reward_based_fitness_vectorized)
     3929    0.041    0.000    0.041    0.000 {method 'reduce' of 'numpy.ufunc' objects}
2472/2399    0.032    0.000    0.039    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/numeric.py:64(zeros_like)
2472/1767    0.031    0.000    0.023    0.000 {built-in method numpy.arange}
 2472/603    0.030    0.000    4.327    0.007 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:54(run)
3929/3879    0.025    0.000    0.069    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
2472/2469    0.024    0.000    0.056    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/_base.py:537(set_result)
     2472    0.023    0.000    1.387    0.001 /home/speron/miniconda3/envs/gaprof/lib/python3.13/concurrent/futures/thread.py:165(submit)
     1570    0.020    0.000    8.205    0.005 /home/speron/miniconda3/envs/gaprof/lib/python3.13/threading.py:327(wait)
 2472/603    0.017    0.000    4.142    0.007 /home/speron/paralela/vect/dinamic_ga/n32_ps1024_32t_J/dgamod.py:333(<lambda>)
2472/2422    0.016    0.000    0.078    0.000 /home/speron/miniconda3/envs/gaprof/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2338(sum)
